Sentence,Mean_Dwell,Mean_Flight_UD,Mean_Flight_DD,Overlap_Rate,WPM,Accuracy,Burst_Pause_Count
every keystroke tells a story,0.07280769230769288,0.2537692307692302,0.3241923076923078,0.9615384615384616,14.01759987539911,51.724137931034484,7
behavior is harder to fake than passwords,0.07158333333333289,0.27133333333333337,0.3394166666666667,0.9166666666666666,24.152968802415312,17.073170731707318,5
typing rhythm reveals patterns,0.06333333333333317,0.25849999999999973,0.3174999999999996,0.9166666666666666,23.75061850569027,26.666666666666668,4
consistency builds trust in systems,0.0705454545454555,0.2936363636363627,0.35809090909090846,0.9090909090909091,22.4032586558045,31.428571428571427,5
subtle timing differences matter,0.06292857142857144,0.4319285714285722,0.49078571428571494,0.9285714285714286,16.20162016201619,34.375,7
precision creates identity over time,0.06590909090909168,0.29518181818181816,0.3549090909090919,0.9090909090909091,19.70083910981394,25.0,2
the smallest details define the strongest locks,0.0739166666666667,0.18775,0.25491666666666646,0.9166666666666666,29.453876048271653,25.53191489361702,2
security should feel invisible,0.078125,0.23499999999999943,0.30337500000000084,0.875,20.338983050847464,26.666666666666668,3
patterns strengthen verification,0.06670000000000158,0.21119999999999806,0.2718000000000004,0.9,18.764659890539487,25.0,3
secure systems reduce friction,0.06914285714285942,0.24764285714285503,0.31264285714285683,0.9285714285714286,26.299311208516002,46.666666666666664,5
